user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
A 26-year-old woman presents to a clinic in Malawi with a 2-day history of headache and confusion. She is febrile and has a unilateral third nerve palsy,"[""Text context: Tuberculous Meningitis symptom: Symptoms include headache, confusion, high fever, and unilateral third nerve palsy. The patient's symptoms are consistent with infectious meningitis, with inflammation in the central nervous system."", 'Text context: Bacterial meningitis symptom: Abrupt onset of fever, confusion, seizures, high fever, and convulsions. Additionally, she experienced a rapid decline in consciousness, pupillary reactivity with photophobia, stiff neck, and plantar responses.', 'Text context: Cryptococcal Meningitis symptom: sub-acute headache of several days to weeks duration, cranial nerve palsies, confusion and impaired consciousness.', 'Text context: Cerebral Sparganosis symptom: The patient presents with generalized tonic-clonic seizures, weakness of the right lower extremity, and headache. The most common symptoms include epileptic seizures, confusion, seizures, paraesthesias or palsies.', 'Text context: Bacterial Meningitis symptom: Fever, headache, vomiting, confusion, impaired consciousness, petechial rash, purpuric rash, neck stiffness, and photophobia.', 'Image context: OSSN-related image: Left eye with marked axial proptosis, nasal upper lid covered with tetracycline eye ointment.', 'Image context: Zika Virus Infection-related image: Conjunctivitis, maculopapular skin rash, and peripheral oedema of the patient.', 'Image context: Trachoma-related image: Table: and Figures 30.1 and 30.2.']","The patient presents with headache, confusion, fever, and unilateral third nerve palsy, which are indicative of central nervous system inflammation, likely due to an infectious cause. The combination of these symptoms, particularly the third nerve palsy, suggests a diagnosis related to meningitis. Given the symptoms and the fact that the patient is in Malawi, a region with a high prevalence of certain infectious diseases, Tuberculous Meningitis is a likely diagnosis due to its association with headache, confusion, high fever, and cranial nerve palsies. 

Tuberculous Meningitis.","Tuberculous Meningitis - The patient presents with neurological symptoms including third nerve palsy and altered consciousness in Malawi, an endemic area.",0.8766666666491334,1.0,,0.6095375539581078
"A 4-year-old boy presents to a clinic in Laos with bad breath, skin lesions/rash/itching. His mouth has a lesion that eat through the child's cheek","[""Text context: Noma symptom: The lesion progressed quickly from a sore to eating through the child's cheek, with bad breath and gangrenous lesion that has destroyed part of his upper and lower lips and cheek, exposing his teeth."", ""Text context: Kaposi's Sarcoma symptom: Dark purplish cutaneous and mucosal lesions, cough, shortness of breath, facial swelling, and chest findings on examination."", 'Text context: Trachoma symptom: Painful, red eyes, discharge, and poor vision. The boy experiences severe follicular inflammation and trichiasis (in-turning lashes). One eye has a perforated corneal ulcer with scarred iris adhesion (leucoma).', 'Text context: Buruli ulcer (BU) patient_background: 7-year-old West African girl, no history of relevant trauma or systemic symptoms, multiple insect bites during outdoor activities, no prior history of Buruli ulcer infection.', 'Text context: Stevens Johnson Syndrome symptom: Non-specific prodromal symptoms such as cough, sore throat, fever, headache, and myalgias; a morbiliform rash that becomes more and more confluent; involvement of the oral mucosa, lips, conjunctivae, and genital mucosa; painful lesions and erosions of the skin and mucous membranes.', 'Image context: Melioidosis-related image: A Lao boy with a unilateral parotid mass showing signs of local inflammation.', 'Image context: Measles-related image: Scaling of the erythematous rash.', 'Image context: Stevens Johnson Syndrome-related image: The face of the patient, showing bilateral swelling of the eyes with conjunctivitis and swollen lips with haemorrhagic crusts. The maculopapular rash was non-itchy and spared the scalp.']","The symptoms described, including bad breath, skin lesions, and a mouth lesion that has eaten through the child's cheek, along with the provided image context, strongly suggest a diagnosis of Noma (also known as cancrum oris). The rapid progression of the lesion and the destruction of facial tissue are characteristic of Noma. 
Noma.","Noma (Cancrum oris) - The patient presents with severe destructive orofacial gangrene with perforation through the cheek in Laos. The images show characteristic gangrenous necrotic lesions of the face and mouth, often associated with malnutrition, poor oral hygiene, and preceding infections in resource-limited settings.",0.8528571428400857,1.0,1.0,0.6175852475171294
A 32-Year-Old Woman from Malawi With 3-week history of headache and blurred vision. She is wasted and has a unilateral abducens nerve palsy. She is afebrile and has no neck stiffness.,"['Text context: Cryptococcal Meningitis symptom: sub-acute headache of several days to weeks duration, cranial nerve palsies, confusion and impaired consciousness.', 'Text context: Syphilis patient_background: 21-year-old woman, 32 weeks pregnant, first pregnancy, no past medical history.', 'Text context: Bacterial meningitis symptom: Abrupt onset of fever, confusion, seizures, high fever, and convulsions. Additionally, she experienced a rapid decline in consciousness, pupillary reactivity with photophobia, stiff neck, and plantar responses.', 'Text context: Progressive Multifocal Leukoencephalopathy symptom: The presenting symptoms include muscle weakness, sensory deficits, hemianopia, cognitive dysfunction, aphasia, and coordination and gait difficulties.', ""Text context: Tuberculous Meningitis symptom: Symptoms include headache, confusion, high fever, and unilateral third nerve palsy. The patient's symptoms are consistent with infectious meningitis, with inflammation in the central nervous system."", 'Image context: Tuberculous Meningitis-related image: Image from 3---A-26-Year-Old-Woman-from-Malawi-with-Headache-_2022_Clinical-Cases-in-Tr', ""Image context: Burkitt's lymphoma-related image: The boy before four courses of chemotherapy."", ""Image context: Tuberculous Meningitis-related image: (A) There is complete ptosis on the left. (B) On primary gaze, the left eye is in a 'down and out' position.""]","The patient presents with a 3-week history of headache and blurred vision, accompanied by unilateral abducens nerve palsy and a wasted appearance, but is afebrile and lacks neck stiffness. The sub-acute onset of headache and presence of cranial nerve palsy are indicative of a chronic infection affecting the central nervous system. The clinical presentation aligns with Cryptococcal Meningitis, a condition known to cause such symptoms, particularly in immunocompromised individuals.

Cryptococcal Meningitis.","Tuberculous meningitis - The wasted patient presents with subacute headache, blurred vision, and unilateral abducens nerve palsy (cranial nerve VI) without fever or neck stiffness in Malawi. The image shows chronic wasting typical of advanced tuberculosis. TB meningitis characteristically presents with cranial nerve palsies (especially III, VI, VII), altered consciousness, and basilar meningitis, often in HIV-endemic areas with insidious onset over weeks.",0.7783333333177667,0.3333333333333333,0.875,0.5246383740885824
"A 31-year-old HIV-positive man presents to a clinic with a 6-week history of fever, chills/sweats, cough, shortness of breath, fatigue and weight loss. He has a history of extensive work-related travel. He is febrile with type 1 respiratory failure ","['Text context: Fascioliasis symptom: intermittent fever, abdominal pain, malaise, weight loss, urticaria and respiratory symptoms, such as cough, dyspnoea and chest pain.', 'Text context: Tuberculosis Lymphadenitis symptom: Symptoms include swollen and painful lymph nodes, fever, night sweats, weight loss, productive cough, and chest pain.', 'Text context: Talaromycosis symptom: Non-specific symptoms include prolonged fever, fatigue, weight loss, and diarrhea. Clinical signs include lymphadenopathy, hepatosplenomegaly, anemia, and generalized umbilicated papular skin lesions, often located on the face, chest, and extremities.', 'Text context: Pneumocystis jirovecii pneumonia (PCP) disease_overview: P. jirovecii is a fungus found worldwide, causes Pneumocystis pneumonia (PCP) in immunocompromised individuals. Classic symptoms are sub-acute onset of malaise, non-productive cough and progressive exertional dyspnoea; fever may also be present.', 'Text context: Mycobacterium tuberculosis symptom: Chronic cough, productive cough, night sweats, some weight loss, fever.', 'Image context: Mycobacterium tuberculosis-related image: Table: ).', 'Image context: Paragonimiasis-related image: Chest x-ray of a patient with acute paragonimiasis, showing right-sided pleural effusion.', 'Image context: Schistosomiasis-related image: Chest radiograph showing nodular changes in the periphery of both lungs.']","The patient is HIV-positive, indicating a compromised immune system, and presents with symptoms such as fever, chills/sweats, cough, shortness of breath, fatigue, and weight loss, which are indicative of an opportunistic infection. The presence of type 1 respiratory failure and the patient's symptoms are consistent with a severe respiratory infection. The images provided show abnormalities in the lungs, with one image suggesting pleural effusion, which is consistent with conditions such as paragonimiasis or tuberculosis.

Pneumocystis jirovecii pneumonia (PCP) or Tuberculosis.","Pneumocystis jirovecii pneumonia (PCP) - The HIV-positive patient presents with subacute respiratory symptoms (6 weeks of fever, cough, dyspnea) and type 1 respiratory failure with extensive travel history. The images show chest X-ray with bilateral interstitial infiltrates and Pneumocystis jirovecii cysts on microscopy with characteristic disc-shaped organisms, the most common opportunistic pneumonia in AIDS patients.",0.8766666666491334,0.6666666666666666,0.625,0.5844760222741191
A 41-Year-Old Male Traveller with a 7-day history of itchy skin eruptions on both upper thighs. He has recently returned from a trip to Asia and Australia.,"['Text context: Cutaneous Larva Migrans patient_background: A 41-year-old European man, who recently returned from a trip to Asia and Australia, presents to a travel clinic with itchy serpiginous skin lesions on both upper thighs. He has been experiencing intense itching for a week.', 'Text context: Zika Virus Infection symptom: A 51-year-old female Swiss traveller presented with a generalized slightly pruritic maculopapular rash on the face, trunk, and extremities, conjunctivitis, peripheral painful oedema (hands, elbows, knees, and feet), and generalized lymphadenopathy. The patient did not report any fever or chronic underlying disease.', 'Text context: Trypanosoma brucei rhodesiense symptom: The patient presents with a florid itchy rash, difficulty in breathing, fever, arthralgia, headache, a circumscribed, painless, indurated lesion on the inside of his left ankle, and a family history of allergy.', 'Text context: Brucellosis patient_background: 33-year-old male refugee from Afghanistan, no medical history or travel history mentioned, initially presented 6-month history of recurrent fever, night sweats and progressive back pain after living in a refugee camp in Iran, no prior medical documents, lost during the journey across Turkey and Eastern Europe.', 'Text context: Talaromycosis patient_background: Male, 34 years old, originally from Phuket, Thailand, who presented to a hospital in Germany with a 2-week history of fever, papular rash, and general wasting. He was initially tested HIV-positive and had a CD4 cell count of 2/μL.', 'Image context: Gnathostomiasis-related image: Itchy serpiginous rash tracking up the right shoulder.', 'Image context: Bartonellosis-related image: Thin smear showing massive infestation of red blood cells with cocco-bacillary structures (Wright stain).', 'Image context: Histoplasmosis-related image: Subcutaneous abscess on the left forearm.']","The patient presents with itchy serpiginous skin lesions on both upper thighs after returning from a trip to Asia and Australia, indicating a possible parasitic infection acquired during travel. The intense itching and characteristic serpiginous lesions are hallmarks of a specific condition. The geographical locations visited are endemic for certain parasitic infections.

Cutaneous Larva Migrans.","Cutaneous larva migrans (creeping eruption) - The traveler presents with intensely itchy serpiginous skin eruptions on thighs after returning from Asia and Australia. The images show characteristic raised, erythematous, serpiginous (snake-like) tracks on skin and hookworm larvae. This condition results from cutaneous penetration and migration of animal hookworm larvae (typically dog/cat Ancylostoma species) acquired from contaminated sandy beaches or soil.",0.7579365079238757,1.0,0.3333333333333333,0.7361282989434637
"A 30-Year-Old Male Chinese with 7 days of fever, chills, headache and a dry cough after receiving a 5-day course of antimalarial treatment with artemether for falciparum. The fever persisted and he developed jaundice","['Text context: Hyperreactive Malarial Splenomegaly treatment: Treatment was started with a single course of dihydroartemisinin-piperaquine. The patient reported a decrease in fever episodes, but malaria PCR remained positive for 2 weeks before becoming negative. Due to authorities considering deportation, treatment was halted, and the patient was provided a medical letter indicating high risk for splenic rupture.', 'Text context: Typhoid Fever treatment: Started on artemether/lumefantrine for malaria and a broad-spectrum antibiotic (ceftriaxone) for enteric fever. Antibiotic therapy was switched to ciprofloxacin for a total of 10 days. Praziquantel was also administered due to suspected schistosomiasis co-infection.', 'Text context: Cerebral Malaria disease_overview: Cerebral malaria is an otherwise unexplained coma in a patient with Plasmodium falciparum parasitaemia. It is a severe complication of malaria characterized by high rates of mortality and neurological sequelae. It is most prevalent in African children younger than 6 years old living in sub-Saharan Africa.', 'Text context: disease_name: Cerebral Malaria', 'Text context: Melioidosis symptom: Prolonged fever, jaundice, back abscess, chest signs, high fever (40 C), chills, severe malaise, erythematous swelling of 2.5 x 4cm with pus discharging from a central wound, pale and jaundiced, bilateral pleural effusions (according to CXR).', ""Image context: Burkitt's lymphoma-related image: The boy before four courses of chemotherapy."", 'Image context: Melioidosis-related image: A Lao boy with a unilateral parotid mass showing signs of local inflammation.', 'Image context: Cerebral Malaria-related image: Infant with cerebral malaria hospitalized at Queen Elizabeth Central Hospital, Blantyre, Malawi (Courtesy Mr James Peck).']","The patient presents with persistent fever, jaundice, and other systemic symptoms despite receiving antimalarial treatment for falciparum malaria, suggesting that the initial treatment may not have fully addressed the underlying condition or that a different disease is present. The symptoms of prolonged fever and jaundice are indicative of a severe infection. The presence of jaundice and the specific mention of symptoms like fever and chills point towards a bacterial infection such as Melioidosis, which is known to cause severe systemic illness including jaundice and prolonged fever.

Melioidosis.","Plasmodium knowlesi malaria - The Chinese patient presents with persistent fever, jaundice, and dry cough despite artemether treatment for falciparum malaria. The image shows Plasmodium knowlesi parasites on blood smear with characteristic band forms. P. knowlesi is a simian malaria that can infect humans, causes quotidian fever (24-hour cycle), and can be misidentified as P. falciparum or P. malariae, potentially leading to treatment failure and severe disease.",0.9617346938638119,0.0,0.5714285714285714,0.7170961767965999
"A 16-year-old girl presents to a clinic in Malawi with fever, headache, abdominal pain, jaundice. She has recently delivered a baby","['Text context: Typhoid Fever symptom: Fever, headache, abdominal pain, mild jaundice, diffuse abdominal tenderness, and slight splenomegaly.', 'Text context: Marburg Virus Disease symptom: Fever, sore throat, general body ache, retrosternal chest pain, abdominal symptoms, and conjunctivitis.', 'Text context: Dengue symptom: high fever, headache, myalgia, thrombocytopenia and leukopenia in the febrile phase of 2 to 7 days duration; abdominal pain or tenderness, persistent vomiting, fluid accumulation, mucosal bleeding, lethargy or restlessness, hepatomegaly, and increasing haematocrit with concurrent worsening of thrombocytopenia in the critical phase.', 'Text context: Mayaro virus symptom: chills, headache, retro-orbital and epigastric pain, myalgia, arthralgia, nausea, vomiting, diarrhoea and a maculopapular rash', 'Text context: Scrub Typhus symptom: high-grade fever, severe headache, myalgia, regional or generalized lymphadenopathy, macular or maculopapular rash, conjunctival suffusions, vomiting, diarrhoea, constipation, acute hearing loss or hearing impairment', 'Image context: Bacterial Meningitis-related image: Petechial rash on the trunk of the patient.', 'Image context: Bartonellosis-related image: Thin smear showing massive infestation of red blood cells with cocco-bacillary structures (Wright stain).', 'Image context: Talaromycosis-related image: Multiple umbilicated papular skin lesions on the neck.']","The patient presents with fever, headache, abdominal pain, and jaundice, which are indicative of a systemic infection. The symptoms align closely with typhoid fever, particularly the combination of fever, headache, abdominal pain, and mild jaundice. The recent delivery may be a coincidental factor or could potentially be related to the patient's condition, but the primary symptoms point towards an infectious disease.

Typhoid Fever.","Typhoid fever (Enteric fever) - The postpartum patient presents with fever, headache, abdominal pain, and jaundice in Malawi. The images show characteristic rose spots (salmon-colored maculopapular rash) on the trunk and Salmonella typhi bacteria on culture/microscopy. Typhoid can be severe in postpartum women with hepatic involvement causing jaundice.",0.6178571428416965,0.6666666666666666,0.3333333333333333,0.5720107157307415
"A 28-year-old man presents to a clinic in Malawi with fever, shortness of breath, nausea/vomiting, abdominal pain. He reports orthopnoea and paroxysmal nocturnal dyspnoea, bilateral flank pain in the past days, which is continuous and dull ","['Text context: Marburg Virus Disease symptom: Fever, sore throat, general body ache, retrosternal chest pain, abdominal symptoms, and conjunctivitis.', 'Text context: Fascioliasis symptom: intermittent fever, abdominal pain, malaise, weight loss, urticaria and respiratory symptoms, such as cough, dyspnoea and chest pain.', 'Text context: Typhoid Fever symptom: Fever, headache, abdominal pain, mild jaundice, diffuse abdominal tenderness, and slight splenomegaly.', 'Text context: Mayaro virus symptom: chills, headache, retro-orbital and epigastric pain, myalgia, arthralgia, nausea, vomiting, diarrhoea and a maculopapular rash', 'Text context: falciparum malaria symptom: Onset of high-grade fever (39.5 C, 103.1 F), nausea, dry cough, moderate dehydration, chest pain and abdominal tenderness', 'Image context: Spinal Tuberculosis-related image: AP radiograph demonstrating a paravertebral soft tissue mass in the lower dorsal region with collapse of the T11 vertebral body. (Waldman, S.D., Campbell, R.S.D., 2011. Imaging of Pain, 1st ed. Saunders, Amsterdam. pp. 147–8)', 'Image context: Progressive Multifocal Leukoencephalopathy-related image: (A) Cranial CT scan showing a hypodense lesion in the subcortical white matter in the left occipital lobe. (B) Cranial MRI showing bilateral T2 hyperintense (to grey matter) lesions in the subcortical white matter involving the so-called U-fibres resulting in a ""scalloped appearance"". (Courtesy Dr Eberhard Siebert, University Medical Center Charitè, Berlin, Germany)', 'Image context: Pneumocystis jirovecii pneumonia (PCP)-related image: CT scan of the chest showing bilateral ground-glass infiltrates, but no pulmonary emboli.']","The patient presents with symptoms of fever, shortness of breath, nausea/vomiting, abdominal pain, orthopnoea, and paroxysmal nocturnal dyspnoea, which indicate a severe infection or a condition affecting the cardiovascular or respiratory system. The presence of bilateral flank pain suggests involvement of the kidneys or spleen. The images provided show characteristics that could be related to a specific diagnosis, but the direct link to the patient's symptoms isn't clear without further description of the images. However, considering the symptoms, a likely diagnosis is Sickle Cell Disease (SCD) with Acute Chest Syndrome (ACS), as the patient's symptoms such as bilateral flank pain and severe respiratory distress are indicative of vaso-occlusive crises and ACS, common complications in SCD. 
Sickle Cell Disease.","Schistosomiasis (Bilharzia) with cardiac and renal complications - The patient presents with heart failure symptoms and bilateral flank pain in Malawi, a schistosomiasis-endemic area. The images show Schistosoma eggs with characteristic lateral spine on microscopy and the parasite lifecycle, causing chronic granulomatous disease affecting multiple organ systems.",0.8874999999778125,,0.4,0.6921063755259972
"A 29-year-old man presents to a clinic in The Gambia with a 7-day history of skin lesions/rash/itching in his private part. The ulcers are tender, soft and bleed on contact","['Text context: Chancroid symptom: The patient is in considerable pain, has multiple painful ulcers on his penis, scrotum, and inner thigh, and does not have inguinal lymphadenopathy.', 'Text context: Cutaneous Larva Migrans patient_background: A 41-year-old European man, who recently returned from a trip to Asia and Australia, presents to a travel clinic with itchy serpiginous skin lesions on both upper thighs. He has been experiencing intense itching for a week.', 'Text context: Chancroid patient_background: Male, 29 years old, comes to the clinic complaining of painful genital ulcers for 7 days. A commercial sex worker was his sexual partner 2 weeks ago without using a condom.', 'Text context: Cutaneous Leishmaniasis symptom: The most common symptom is the appearance of a painless ulcer with raised edges, often on air-exposed parts of the skin, typically beginning as a small papule. Patients may also have multiple lesions and may experience symptoms such as fever, chills, and lymphadenopathy in more severe cases.', 'Text context: Sickle Cell Disease patient_background: Male, 28 years old, West African man, presents with a chronic, painful ankle ulcer. He is short for an adult, pale and mildly jaundiced.', 'Image context: Sporotrichosis-related image: Initial ulcerated lesion on the left hand. Note the pustular lesion near the ulcer.', 'Image context: Buruli ulcer (BU)-related image: Large skin ulcer on the back of the right hand filled with necrotic tissue; second smaller ulcer on the medial side of the wrist.', ""Image context: Melioidosis-related image: Wound on the patient's left shoulder, after incision and drainage of the abscess. (Side finding: hypopigmented macular skin lesions of Pityriasis versicolor (Malassezia spp.), commonly seen in humid tropical climates.)""]","The patient presents with painful genital ulcers that are tender, soft, and bleed on contact, which is consistent with a sexually transmitted infection. The symptoms and the patient's demographic information align with a diagnosis typically associated with such presentations. The presence of painful ulcers, particularly in the genital area, is a characteristic symptom of Chancroid, caused by Haemophilus ducreyi, often linked to unprotected sexual contact.

Chancroid.","Chancroid (Haemophilus ducreyi infection) - The patient presents with painful, tender genital ulcers that bleed easily in The Gambia, endemic for this sexually transmitted infection. The images show multiple deep, soft, ragged-edged ulcers with purulent base and gram-negative bacilli in a 'school of fish' pattern on microscopy, classic findings for chancroid.",0.6845238095066964,0.5,0.42857142857142855,0.6076134162067734
A 67-year-old woman presents to a clinic with palpitations and transient subcutaneous swellings for the past year.,"['Text context: Loiasis symptom: Transient subcutaneous swellings, palpitations, cardiac arrhythmia (paroxysmal supraventricular extrasystoles), localized angioedema, urticaria, intense itching of the eye, pain and photophobia, swelling of the eyelid and periorbital region.', 'Text context: Tuberculosis symptom: Clinical manifestations include right upper abdominal pain, breathlessness, syncope, tachycardia, pulsus paradoxus, hypotension, and impalpable apex beat.', 'Text context: Trypanosoma brucei rhodesiense symptom: The patient presents with a florid itchy rash, difficulty in breathing, fever, arthralgia, headache, a circumscribed, painless, indurated lesion on the inside of his left ankle, and a family history of allergy.', 'Text context: Puff-Adder Envenoming symptom: The symptoms of puff-adder envenoming include massive local swelling, blistering, necrosis, plasma extravasation, hypotension, keratoconjunctivitis, corneal ulcer, blindness, release of vasoactive compounds (e.g. NO, histamine, serotonin, bradykinin); anaphylaxis, acute profound hypotension, urticaria, vomiting, diarrhoea, spontaneous systemic bleeding (gums, brain, gastrointestinal, uterine), bleeding from trauma and recent wounds, hypotension, shock, arrhythmias, conduction abnormalities, cranial nerve palsies, bulbar and respiratory paralysis, trismus; rhabdomyolysis with myalgias, myoglobinuria, renal failure, hyperkalaemia, respiratory failure, acute kidney injury, renal necrosis.', 'Text context: Cerebral Sparganosis symptom: The patient presents with generalized tonic-clonic seizures, weakness of the right lower extremity, and headache. The most common symptoms include epileptic seizures, confusion, seizures, paraesthesias or palsies.', ""Image context: Onchocerciasis-related image: The patient's left eye showing corneal opacities. (Courtesy H. Trojan)"", 'Image context: Trachoma-related image: Table: and Figures 30.1 and 30.2.', 'Image context: Trachoma-related image: The left eye with a focal corneal scarring including a perforated corneal ulcer with adherent iris (leucoma).']","The patient presents with palpitations and transient subcutaneous swellings, which are characteristic symptoms of Loiasis. The presence of these symptoms, particularly the transient subcutaneous swellings, also known as ""Calabar swellings,"" is a hallmark of Loiasis. Loiasis is caused by the parasitic worm Loa loa.

Loiasis.","Loiasis (Loa loa infection/African eye worm) - The expatriate patient presents with palpitations and migratory transient subcutaneous swellings (Calabar swellings). The images show the adult worm migrating across the conjunctiva (eye worm) and microfilariae on blood smear. Loa loa is transmitted by deer flies in Central Africa, causing characteristic migratory angioedema and occasional cardiac symptoms from microfilaremia.",0.8392857142689285,0.5,0.16666666666666666,0.5248189959460013
