Question,Predicted_Answer,Reference_Answer,F1_Score,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
"A 24-Year-Old Female Globetrotter with paraesthesias that spread over the right side of her body, lasting for about 2 minutes. She lives on a vegan diet. The MRI of the brain shows multiple cystic lesions in both hemispheres.",Neurocysticercosis.,"Neurocysticercosis - The vegan traveler presents with focal seizures (paraesthesias spreading over right body) and multiple cystic brain lesions on MRI. The images show multiple ring-enhancing cysts in brain parenchyma and Taenia solium cysticercus larvae. Neurocysticercosis, caused by ingestion of T. solium eggs (not from eating pork), is the most common parasitic CNS infection worldwide and leading cause of acquired epilepsy in endemic regions.",0.06666666666666667,0.8906066417694092,0.7928037047386169,0.8388640880584717
"A 4-year-old boy presents to a clinic in Laos with bad breath, skin lesions/rash/itching. His mouth has a lesion that eat through the child's cheek","Noma, also known as cancrum oris.","Noma (Cancrum oris) - The patient presents with severe destructive orofacial gangrene with perforation through the cheek in Laos. The images show characteristic gangrenous necrotic lesions of the face and mouth, often associated with malnutrition, poor oral hygiene, and preceding infections in resource-limited settings.",0.20408163265306123,0.863635778427124,0.8081149458885193,0.8349533677101135
"A 14-year-old boy presents to a clinic in Malawi with necrotic wound on his right foot. He was bitten by a snake 3 weeks earlier. Shortly after the bite, haemorrhagic bullae formed on the right leg. His gums started to bleed and he vomited extensively.","Snakebite envenoming, likely caused by a venomous snake such as a species of the genus Echis or Bitis, resulting in hemorrhagic necrosis and potentially disseminated intravascular coagulation.","Snake envenomation (viper bite) with local necrosis and coagulopathy - The patient presents with necrotic wound following snake bite 3 weeks ago, with hemorrhagic bullae, gingival bleeding, and vomiting in Malawi. The images show extensive tissue necrosis with black eschar and snake (likely puff adder or carpet viper), typical of viperid envenomation causing local cytotoxicity and systemic hemorrhagic coagulopathy.",0.2933333333333334,0.8588937520980835,0.8482666611671448,0.8535470962524414
An HIV-positive 35-Year-Old Malawian Woman with an ocular tumour in her left eye. It started as a whitish lesion on her conjunctiva several months ago. The lesion continued to grow and the affected eye eventually turned blind.,Kaposi's Sarcoma.,"Ocular squamous cell carcinoma (conjunctival carcinoma) - The HIV-positive woman from Malawi presents with progressive ocular tumor starting as whitish conjunctival lesion leading to blindness. The images show large fungating mass involving conjunctiva and cornea with irregular vascularization. Conjunctival squamous cell carcinoma is strongly associated with HIV infection, HPV, and UV exposure in sub-Saharan Africa, presenting as aggressive locally invasive tumors.",0.03508771929824561,0.8334327340126038,0.7975409030914307,0.8150919079780579
"A 29-year-old man presents to a clinic in The Gambia with a 7-day history of skin lesions/rash/itching in his private part. The ulcers are tender, soft and bleed on contact",Genital Herpes or Chancroid.,"Chancroid (Haemophilus ducreyi infection) - The patient presents with painful, tender genital ulcers that bleed easily in The Gambia, endemic for this sexually transmitted infection. The images show multiple deep, soft, ragged-edged ulcers with purulent base and gram-negative bacilli in a 'school of fish' pattern on microscopy, classic findings for chancroid.",0.11320754716981132,0.8524450659751892,0.7928287982940674,0.821556806564331
"A 40-year-old man presents to a clinic in Togo with a triad of corneal opacities, skin changes and subcutaneous nodules. Many adults in the village are blind. The patient also complains of suffering from intense itching of his skin that keeps him awake at night",Onchocerciasis.,"Onchocerciasis (River blindness) - The patient presents with the classic triad of corneal opacities, skin changes, and subcutaneous nodules with severe nocturnal pruritus in Togo, an endemic area with widespread blindness. The images show sclerosing keratitis with corneal opacity and microfilariae of Onchocerca volvulus, transmitted by blackflies, causing chronic dermatitis and ocular disease.",0.08163265306122448,0.9551404118537903,0.7951964139938354,0.8678606152534485
A 41-Year-Old Male Traveller with a 7-day history of itchy skin eruptions on both upper thighs. He has recently returned from a trip to Asia and Australia.,Hookworm-related cutaneous larva migrans.,"Cutaneous larva migrans (creeping eruption) - The traveler presents with intensely itchy serpiginous skin eruptions on thighs after returning from Asia and Australia. The images show characteristic raised, erythematous, serpiginous (snake-like) tracks on skin and hookworm larvae. This condition results from cutaneous penetration and migration of animal hookworm larvae (typically dog/cat Ancylostoma species) acquired from contaminated sandy beaches or soil.",0.13793103448275862,0.8865959644317627,0.8033844232559204,0.8429416418075562
A 14-year-old boy presents to a clinic in Rural Tanzania with acute-onset non-progressive spastic paraplegia. There is no history of back pain. The main staple food crop in his village is cassava.,Konzo disease.,"Konzo (spastic paraparesis from cassava toxicity) - The patient presents with acute-onset non-progressive spastic paraplegia without back pain in a cassava-dependent community in Tanzania. The images show cassava plants and affected individuals with spastic gait. Konzo results from chronic cyanide toxicity from insufficiently processed bitter cassava consumption, causing permanent but non-progressive bilateral leg weakness.",0.08163265306122448,0.8822763562202454,0.7949143052101135,0.8363201022148132
"A 20-year-old woman presents to a clinic in Sudan with a 2-day history of fever, headache, myalgia, skin lesions/rash/itching, nausea/vomiting, abdominal pain.","Dengue Fever, Rift Valley Fever or other Viral Hemorrhagic Fever is possible, given the symptoms of fever, headache, myalgia, skin lesions, nausea, vomiting and abdominal pain, as well as the geographical location of Sudan. However, the provided images are not directly analyzed. Based on the symptoms, the potential diagnosis includes Dengue Fever.","Chikungunya virus infection - The patient presents with acute febrile illness with polyarthralgia, myalgia, and characteristic rash. The images show erythematous maculopapular rash and mosquito vectors (Aedes species) which are typical for Chikungunya, endemic in Sudan and East Africa.",0.20253164556962025,0.8490296006202698,0.816991925239563,0.83270263671875
"A 42 years old male Lao rice famer presents during the rainy season with prolonged fever, jaundice, a back abscess and chest signs. He is a known type 2 diabetic but has been non-adherent to his antidiabetic medication.",Melioidosis.,"Disseminated melioidosis - The diabetic rice farmer presents during rainy season with prolonged fever, jaundice, back abscess, and pneumonia in Laos, highly endemic for Burkholderia pseudomallei. The images show multiple organ abscesses and characteristic bipolar-staining gram-negative bacilli. Poorly controlled diabetes is a major risk factor for severe disseminated melioidosis with multiple organ involvement including pneumonia, liver, and soft tissue abscesses.",0.07547169811320754,0.8880482912063599,0.7855142951011658,0.8336403369903564
